Title,Newspaper,Date,Section,Body,Policy Narrative,Unit of Analysis,Hero,Villain,Victim,Beneficiary,Ally,Opponent,Ineffective,Setting,Plot,Moral,Moral Description,Belief System,Narrative Strategy
Opposition mocks govt over recovery of alcohol bottles on House premises,The Times of India (TOI),12-03-2021,PATNA,"PATNA: The RJD legislators on Wednesday demonstrated outside the Bihar Vidhan Parishad over illegal liquor trade in Bihar. Leader of opposition in the state assembly, Tejashwi Prasad Yadav, took a jibe at the state government for empty liquor bottles found on the premises of state legislature. He said the number of bottles were being counted, instead of investigating as to how these bottles reached there.""They are coming up with stunning things. 
Had they worked on prohibition seriously, they would have not been ashamed,"" said Tejashwi. His mother and former chief minister Rabri Devi also demonstrated outside the legislature building over illegal liquor trade in Bihar. In the legislative council, RJD MLC Rambali Singh demanded the House adjournment. Sharing a data of National Family Health Survey-5, Singh said 15% of the state population was consuming liquor, while in Maharashtra, the percentage was less than in Bihar. ""This is the mockery of prohibition. It is a shame that liquor bottles have been recovered from the premises of Vidhan Sabha,"" he said.JD(U) MLC Neeraj Kumar asked Singh to tell who had informed them about the empty bottles. ""After getting the information, did you call on the toll-free number or the number released by KK Pathak? You did not fulfil your responsibility,"" said Neeraj. Without naming anyone, he said an RJD leader's son was found in a drunken state, but the party has taken no action yet.Singh then reminded Neeraj of liquor bottles seized from a school run by the brother of a cabinet minister.Congress MLC Prem Chandra Mishra raised the issue of increase in crime in Madhubani district and mentioned several incidents, including assault on a judge in Jhankharpur by the cops, murder of scribe Avinash Jha, who had exposed the fake hospitals and dead body of a girl Gulshan recovered from officer's colony in Madhubani. MLC Sanjeev Shyam Singh raised the issue of increase in air pollution in different towns of Bihar. BJP MLC Sanjay Prakash alias Sanjay Mayukh backed Singh and asked the government to take this issue seriously. For Reprint Rights: timescontent.com

Load-Date: December 2, 2021",1,Document,MLC Sanjeev Shyam Singh,0,0,0,0,0,0,Bihar,0,Implicit Policy Reference,"Issue of air pollution was raised, but article mainly about alcohol being found on government premises",Hierarchist,0
How Indian coir became a money-spinner for China,The Times of India (TOI),1/20/2022,TOP STORIES,"For many, Pollachi in Tamil Nadu may bring to mind tall coconut trees and mounds of coconut husks being dried in large plots of land. One of the largest producers of coconut in the country, the district is yet to reap the full benefits of this resource.While the coir industry is growing at a rate of 10-15% every year, there has been a negative growth in the value of coir because of negligible attempts to make value-added products despite the availability of raw coir in abundance. So, while globally there is a demand for coir wood, geotextiles, mattresses and mattings, Pollachi units are stuck on making coir pith and exporting raw coir fibre.The potential of coconut fibre or coir, which comprises 60% of the husk, largely remains untapped, says industry insiders. A recent announcement by the Tamil Nadu government on establishing a coir processing cluster in Pollachi is considered a step towards realising its potential, but there is a long way to go.The district has about 600 coir mills that defibre coconuts and export the raw coir fibre to China after extracting coco pith. 
Instead, the coir can be converted into yarn, mattress, floor mats and doormats.""Data reveals that of the 9 lakh tonnes of coir produced in the country, nearly 7.5 lakh tonnes are exported to China, and a similar trend is witnessed in Pollachi,"" said SK Gowthaman, a member of the Coir Board.The product most Pollachi units focus on at present is coir pith and its ancillary products, which is a change from the 1990s, when coir processing units started coming up. The units were primarily engaged in extracting the coir fibre out of coconut husk and sending it to Kerala to be converted into value-added products such as mattresses and other material. Coco pith had no value then and was burned on the roadsides.The trend reversed in the next 20 years when coco pith's water retaining capacity made it popular as an alternative to soil. In 2015, coco pith was such a big hit in agriculture and gardening that the coir industry in Pollachi was running with its profits.""The cost of coco pith, which was ?2.5 a kg in the early 2000s, has now increased to ?25 a kg. But the value of coir didn't grow as it was just exported as a raw material to China,"" said Gowthaman.About a decade ago, when China entered the Indian market for importing coir fibre to make value-added products such as mattresses, Pollachi became its sourcing centre. Over the years, the dependence on the Chinese markets has increased to such an extent that Pollachi units suffer when China stops importing coir for about three weeks during their new year at the end of January every year.While globally, there has been a demand for value-added coir fibre products, most units in Pollachi haven't been able to catch on to that trend.""In the early 2000s, the rate of export of coir to China was ?500-700 for 30kg, now it has been ?250-350 for the past four years. This is because products and not raw coir bring in the revenue,"" said Gowthaman.S Mahesh Kumar of the Federation of Indian Coir Exporters Association (FICEA) said he has stopped exporting coir fibre to China. ""People are starting to move to natural fibre, which is a positive sign for the coir industry,"" he said. He has started producing value-added products such as bags, slippers and mattresses that are in demand in the international and domestic markets.B Karthigaivasan, general manager, district industries centre (DIC), said the coir processing cluster announced by the state government is a move towards addressing the gap in the industry and the market. About 35 entrepreneurs in the coir industry have formed a special purpose vehicle (SPV) for establishing the cluster. The cluster will be formed at a cost of ?23.7 crore, of which the Centre will spend ?12 crore, the state ?2 crore and rest will be borne by the SPV.The cluster will have four machineries, which include coir quilting machine, coir needle punch machine, coir sheet production with latex spray and coir tufted mats with latex. Besides this, a laboratory for coir testing will also be part of the cluster, he said.The new prospects, however, need to be eco-friendly as well as the Tamil Nadu Pollution Control Board (TNPCB) has enforced stricter pollution control norms for coir pith units. P Manimaran, Coimbatore district environment engineer at TNPCB, stressed on the need for coir processing units to upgrade their facilities as per the present pollution control norms.""The problem arises in the conventional process wherein the husk is piled up in agricultural land and sprayed with water for extraction of coir and coco pith. This leads to contamination of groundwater. When it is left to dry in the field, the coco pith particles are suspended, resulting in air pollution. There is advanced machinery available that can segregate the husk with minimal effluent discharge,"" said Manimaran. For Reprint Rights: timescontent.com

Load-Date: January 19, 2022",1,Document,"Tamil Nadu Pollution Control Board (TNPCB), Coimbatore district environment engineer at TNPCB",coco pith particles,0,0,0,0,0,Pollachi,Regulatory Enforcement,Explicit Policy Solution,Strict pollution control norms enforced,Hierarchist,Inadvertent
"IIT-Delhi startup launches ""world's smallest"" wearable air purifier, Naso95",The Times of India (TOI),2/25/2022,GADGETS NEWS,"IIT-Delhi start-up Nanoclean Global has launched the ""world's smallest"" wearable air purifier, Naso95. Nanoclean Global claims that Naso95 is at par effective to an N95 grade face mask. The launch ceremony at IIT Delhi observed gathering from Doctors and Government officials. 
Shri. Rajesh Kumar Pathak, IP & TAFS cadre, Secretary Technology Development Board, Gov. of India was the chief guest and Dr M C Mishra, Ex Director AIIMS, Delhi was guest of honour. What is Naso95 and how it works Naso95 is an N95 grade nasal filter. It sticks to the user's nasal orifice and prevents bacteria, viral infection and pollen and air pollution. It is at par effective with an N95 grade face mask.According to the company, a person wearing Naso95 is more protected than a generic facemask or a loosely fitted face mask. The product is said to have been tested and certified by national and international labs for its safety and efficiency. Naso95 comes in different sizes: Small, Medium, Large and Kids size.The product Naso95 can also be used by kids prone to air borne infections and air pollution. Dr M C Mishra, ex-director, AIIMS-Delhi, said that air pollution is a much bigger problem than viruses. Lung cancer remains the leading form of cancer and a product like Naso95 can effectively address the problem of respiratory illnesses in metro cities. During the pandemic, the product can specially come in handy at places where one has to pull down a mask for the purpose of identification for e.g. airports, security checks etc. For Reprint Rights: timescontent.com

Load-Date: February 24, 2022",1,Document,"AIIMS-Delhi ex-director Dr M C Mishra, IIT-Delhi start-up Nanoclean Global",0,kids,kids,0,0,0,IIT Delhi,Blame the Victim,Implicit Policy Reference,"Air pollution causes cancer, use these to stay alright",Modernist,Mobilization of Support
Protect bus priority lane on ORR: NGO,The Times of India (TOI),3/28/2022,BENGALURU,"Times News Network
Bengaluru: With bollards for the bus priority lane on Outer Ring Road (ORR) likely to be removed, Greenpeace India on Saturday demanded protection and expansion of BMTC lanes across the city. 
Its members painted messages such as 'protect the bus lane' on ORR. ""Bengaluru has been experiencing very critical air quality for the past many years. Greenpeace India's recent report found the annual average of PM2.5 and PM10 exceed WHO's revised standards in the city. Previous source apportionment studies identified the transportation sector as one of the major sources of air pollution in the city,"" the NGO said in a statement. 
""Like in many other Indian cities, public transport in Bengaluru caters to majority of citizens and the bus priority lane particularly has reduced travel time, improved predictability, increased service supply along the corridor, and resulted in improved bus ridership and revenue. In fact, BMTC which comprises just 0.15% of the total vehicle population, helps 50% of the human population in the city access mobility,"" it said. 
The organisation also suggested that companies must encourage employees to adopt public transport while implementing flexible hybrid work policies. Campaign manager Avinash Chanchal said it is unfortunate that representatives of companies have been asking the government to reconsider the bus lane instead of urging it to strengthen public transport.
For Reprint Rights: timescontent.com

Load-Date: March 27, 2022",1,Document,"Greenpeace India, Campaign manager Avinash Chanchal",transportation sector,Residents,Public,BMTC,Companies,0,Bangalore,Story of Decline,Explicit Policy Solution,Enable better public transport,Activist,Mobilization of Support
"Uttarakhand HC notes DU student's letter, asks why Oak leaves burnt",The Times of India (TOI),04-08-2022,DEHRADUN,"NAINITAL: Taking suo motu cognisance of a letter seeking a ban on open burning of Oak leaves in Nainital by Medha Pandey, a fifth-semester LLB student at Delhi University (DU), the Uttarakhand high court (HC) on Wednesday asked why the leaves shed by trees in forests of Nainital were being burnt by sanitation workers, adding to air pollution in the lake town, when they can be turned into manure instead. Pandey also pointed out that open burning of waste is prohibited by the National Green Tribunal (NGT) across the country. A division bench of acting Chief Justice Sanjay Kumar Mishra and Justice RC Khulbe sent notices in this regard to the Union ministry of environment, forest & climate change (MoEF&CC), the Uttarakhand government, district magistrate of Nainital and nagar palika parishad, Nainital. 
The respondents have been asked to submit their replies within four weeks. Pandey, a resident of Nainital, had written the letter to the chief justice of HC on March 23. In the letter, she pointed out that ""Nainital is surrounded by oak forests and the dried leaves keep falling on roads, streets and roofs."" ""Local residents and sanitation workers burn them, which affects the health of the environment as well as that of residents,"" the letter said, adding that oak leaves can be put to good use if turned into manure. ""The leaves can also be deposited on forest floors, where they would retain the ground's moisture and shelter insects and snakes. Moreover, it is noticed that burning of dry leaves adjacent to forest areas can sometimes result in fire spreading to the forested area, leading to widespread forest fires,"" Pandey wrote in the letter, adding that ""imposing a ban on burning of leaves will help increase water retention capacity in the forests of Nainital"". For Reprint Rights: timescontent.com

Load-Date: April 7, 2022",1,Document,fifth-semester LLB student at Delhi University (DU) Medha Pandey,"sanitation workers, residents","environment, residents",residents,"National Green Tribunal (NGT), Uttarakhand high court (HC), Chief Justice Sanjay Kumar Mishra and Justice RC Khulbe",0,0,Nainital,Hero's Journey,Explicit Policy Solution,Ban on leaf burning,Activist,Mobilization of Support
"Green fuel push: West Bengal offers registration fee immunity, tax breather for CNG, e-vehicles",The Times of India (TOI),5/29/2022,KOLKATA,"KOLKATA: In a bid to encourage and fast-track adoption of vehicles powered by green fuel, the state government on Friday announced exemption of registration fees and that of road tax for two years on electric two-wheelers and cars and all categories of CNG vehicles.Adoption of vehicles with cleaner fuel will pave the way for a better environment as petrol and diesel-powered vehicles contribute to 30% of the city's ambient air pollution. While there is no emission in electric vehicles, CNG burns cleaner than petrol and diesel and emits 80% less carbon monoxide and 44% less hydrocarbons. CNG cars also run quieter than gasoline and diesel vehicles.This one-time exemption of registration fees, tax, and additional tax would be effective from April 1, 2022 to March 31, 2024, stated the order issued by transport principal secretary Rajesh Kumar Sinha. 
According to the order, vehicles registered on or after April 1, 2022, till date of issuance of this notification, may get an extension of tax validity for the exact number of days for which tax has already been paid that falls within the period from April 1, 2022, to March 31, 2024. However, adjustment or refund of registration fees, if already paid, is disallowed. Electric vehicle manufacturers and environmentalists have been urging the state government to incentivise purchase of green-fuel vehicles that are more expensive than cars with internal combustion engines that run on petrol or diesel. Earlier, in the 2022-23 budget statement, minister of state for finance Chandrima Bhattacharya had announced a one-time exemption of tax and additional tax on battery-operated e-vehicles and on all categories of CNG-operated vehicles for the same period. For Reprint Rights: timescontent.com

Load-Date: May 28, 2022",1,Document,"state government, minister of state for finance Chandrima Bhattacharya, transport principal secretary Rajesh Kumar Sinha",petrol and diesel-powered vehicles,0,environment,0,0,0,Kolkata,Regulatory Enforcement,Explicit Policy Solution,Tax exemption for green vehicles,Hierarchist,Mobilization of Support
Haryana to get its first 3 real-time noise monitoring stations - all in Faridabad,The Times of India (TOI),06-01-2022,FARIDABAD,"GURUGRAM : In the wake of growing concerns over noise levels breaching permissible limits, the Haryana State Pollution Control Board (HSPCB) plans to set up the state's first three real-time noise level monitoring stations in Faridabad. Equipped with digital display boards and connected to a centralised networking system, these stations will monitor noise levels continuously for 24 hours and around the year.Tenders inviting bids are out, and the board will award the work by mid-June. Faridabad is likely to get the three stations by August-end. 
According to HSPCB, these stations will help formulate an action plan for curbing noise pollution in the coming days. ""We have opened the bidding for the project. June 6 is the last date for bids in response to the tender document for three real-time monitoring stations in Faridabad,"" HSPCB member secretary S Narayan told TOI.The HSPCB already has real-time ambient air quality monitoring stations at sectors 16A, 11, 30 and a new industrial area in Faridabad. The noise monitoring stations are likely to come up at three of these locations, but the pollution board is yet to take a final call.The values of various parameters measured in the noise monitoring stations shall be transferred online automatically and stored in the central server networking system, just like the air quality index data.The board has taken this initiative out of concerns over the increasing use of automobiles in the region, a primary cause of noise pollution. While noise pollution does not receive as much attention as air and water pollution, it impacts our health. According to the World Health Organisation (WHO), nearly 1.1 billion young people aged between 12-35 years are at risk of hearing loss due to noise exposure.Faridabad is the only Haryana district on the non-attainment cities' list of the National Clean Air Programme (NCAP), which means its air did not meet the national ambient air quality standards from 2011 to 15. So, it will be the first district to get the noise monitoring stations because the long-term plan is to ensure that, along with air pollution, noise pollution gets monitored for further analysis and creating a road map to curb the problems together.According to the noise standards for ambient air and automobiles, domestic appliances and construction equipment, notified in Environment (Protection) Rules, 1986, the limit is 55 decibels (dB) in residential areas, 65 dB in commercial areas, and 75 dB in industrial areas. Near sensitive areas such as hospitals, noise levels should not exceed 45 dB. At night, the limit is 45 dB in residential areas, 55dB in commercial areas, and 70 dB in industrial areas.""This new project will help our department prepare a database, identify the dangerous sources of noise pollution and take adequate action,"" said an HSPCB officer. The plan is to expand the project to Gurugram , as well. For Reprint Rights: timescontent.com

Load-Date: May 31, 2022",1,Document,Haryana State Pollution Control Board (HSPCB),"industries, vehicles",People,0,National Clean Air Programme (NCAP),0,0,Faridabad,Regulatory Enforcement,Implicit Policy Reference,Air quality stations set up,Modernist,Concentrating Costs and Diffusing Benefits
New air regime: How MCD plans to tackle C&D waste,The Times of India (TOI),7/19/2022,DELHI,"New Delhi: In its new policy on air pollution, the Commission for Air Quality Management has directed Delhi government's urban department and the urban local bodies to register all construction and demolition projects involving over 500 square metres on their web portals by August 30.Municipal Corporation of Delhi officials claimed to be verifying and monitoring construction sites and submitting details on a web portal developed by Delhi government. ""CAQM's norms basically apply to big constructions and public works. MCD needs to give a self-declaration about the arrangements for clearing construction and demolition waste on the state government portal,"" said an MCD official.The official added, ""We were taking the help of the building department to get details of ongoing construction and the works department for other development projects in areas under our jurisdiction. 
But during the unification of the municipal corporations, the process slowed down. Now we will again take appropriate measures in a time-bound manner.""On July 9, Delhi's environment minister Gopal Rai announced a special campaign on self-registration of constructions on sites larger than 500sqm from July 15 to 30. The self-assessment portal was launched in October last year. The minister said, ""As it is difficult to visit all construction and demolition sites, the project proponents have to compulsorily register on the portal and upload the self-declaration form on a fortnightly basis. Delhi Pollution Control Committee has been authorised to take action against defaulters.""The CAQM policy instructs the local bodies to ensure segregation of C&D waste at the site and transport it to notified collection centres and processing plants. At present, the city generates 6,000-7,000 tonne of C&D waste per day. There are four C&D waste processing units capable of handling 4,150 TPD. Three others with a total capacity of 2,500 TPD are proposed at Ranikhera, Tehkhand and Libaspur by March 2023.The new pollution policy stresses on expansion of waste recycling capabilities, material recovery centres and timely completion of ongoing and planned infrastructure works. ""We have 152 material recovery centres dealing with 228 TPD of waste. About 275 TPD are processed at the local level,"" said an MCD official.Officials claimed that in the next two years, they will be able to incinerate at least 8,000 tonnes of 11,000 tonnes of municipal waste at new waste-to-energy plants. ""We are in the process of calling for bids for the proposed WTE plant at Bawana, while the one at Tehkhand will become operational by September end,"" added the official. For Reprint Rights: timescontent.com

Load-Date: July 18, 2022",1,Document,"Commission for Air Quality Management, Delhi's environment minister Gopal Rai",0,0,0,"Delhi government's urban department, urban local bodies",0,0,Delhi,Regulatory Enforcement,Explicit Policy Solution,Website started,Modernist,Concentrating Costs and Diffusing Benefits
LG: Dust from unpaved roads major factor in air pollution,The Times of India (TOI),08-01-2022,DELHI,"New Delhi: Lieutenant governor VK Saxena on Saturday appreciated the new graded response action plan put forward by the Centre's air quality panel and instructed all the implementing agencies to work in coordination to tackle Delhi's air pollution.At a meeting held with the members of the panel and agencies, the LG pointed out that 26% of the air pollution is generated from the dust due to unpaved roads and central verges. He asked the officials concerned to cover, repair, or carpet the roads and central verges within fixed deadlines. 
He also directed the officials to discard the ""self-defeating prevalent practice"" of laying interlocking blocks on reinforced cement concrete and rather opt for interlocking blocks by compaction, which will allow water to seep down and reduce cost of construction.He stressed that measures to control air pollution from vehicular emission, road and C&D dust, burning of solid municipal and agro waste and industrial emissions should be taken without any delay.The LG claimed that the total length of dust-generating, non-paved and open roadsides belonging to the PWD and municipal corporation was 165 km and 59.7 km, respectively.Saxena asked the air panel members to explore the possibility of installing rotating mist sprinklers on highrise buildings. He asked the environment department to immediately provide funds to the corporation for purchase of mechanised sweeping machines. ""He also asked for fixed separate colour codes to be adopted by different road-owning agencies so as to make the ownership and responsibility related to it, easily identifiable,"" said a statement from the LG office. For Reprint Rights: timescontent.com

Load-Date: July 31, 2022",1,Document,"Centre's air quality panel, Lieutenant governor VK Saxena","vehicular emission, road and C&D dust, burning of solid municipal and agro waste and industrial emissions",0,0,0,0,0,Delhi,Regulatory Enforcement,Explicit Policy Solution,bunch of rules made,Hierarchist,Concentrating Costs and Diffusing Benefits
PWD to install kerbside EV charging points across Delhi: Explained,The Times of India (TOI),9/27/2022,AUTO-NEWS,"The Delhi government had recently announced plans to set up kerbside electric vehicle (EV) charging points across the city. Public Works Department (PWD) has now picked 20 road stretches for installation of these EV chargers as a part of the pilot project, while 55 roads in North-East and North-West districts have been deemed not feasible for the project so far.One of the main factors that decides the feasibility of the location is street parking capacity for EVs to stop and charge without affecting road usage. 
More areas are expected to be identified for the roll out of the project. That said, eight nodal officers have been appointed to coordinate among Dialogue and Development Commission (DDC), transport department and PWD on the project.Delhi government feels that kerbside charging is an emerging concept globally and that street lamp posts or dedicated charging points can be used for charging vehicles. PWD has approximately 1,400 km of roads under its jurisdiction, with one lakh lamp posts. The state government plans to put up 5,000 kerbside charging points across the capital over the next three years.The pilot project will aim at 100 kerbside chargers serviced equally by the power distribution companies like Delhi Transco Limited, BSES Rajdhani Power Limited, BSES Yamuna Power Limited and Tata Power Delhi Distribution Limited. Once EV chargers are installed on all major roads following the pilot, the deployment will be scaled across the city. The government is largely targeting electric two-wheeler and three-wheelers since they occupy less space on the road, but reportedly cause more air pollution than most of other vehicles. For Reprint Rights: timescontent.com

Load-Date: September 26, 2022",1,Document,Delhi government,two-wheeler and three-wheelers,0,0,"Public Works Department, Dialogue and Development Commission (DDC), transport department",0,0,Delhi,Regulatory Enforcement,Explicit Policy Solution,EV stations to be set up,Modernist,Concentrating Costs and Diffusing Benefits
Paddy stubble: Relief sought for farmers,The Times of India (TOI),9/26/2022,CHANDIGARH,"Chandigarh: Asking the central government to compensate the farmers for managing crop stubble, Punjab environment minister Gurmeet Singh Meet Hayer said the state had given away 90,422 subsidised CRM (crop residue management) machines and would give away 32,100 more.
Speaking at the national conference of the state environment ministers, Hayer said Punjab was ready to contribute its share if the central government was ready to match it. The minister said: ""The air pollution caused by stubble burning troubles not only Punjab but the entire country. Punjab brought the country out of food crisis and now, in its hour of need, the Centre should hold its hand. We are in a large-scale awareness campaign for the farmers and also reaching them out through university students.""
The minister claimed that out of the second lot of 32,100 CRM machines to be given away, the state government had sanctioned 21,000. Also, the subsidy was 50% for individual farmers and 80% for panchayats or farming societies. Paddy straw is being used as fuel for electricity and biogas plants, Hayer claimed, adding this will make crop residuce a source of income for the farmers. tnn
For Reprint Rights: timescontent.com

Load-Date: September 25, 2022",1,Document,Punjab environment minister Gurmeet Singh Meet Hayer,stubble burning,entire country,entire country,farmers,0,0,"Punjab, India",Restoration,Explicit Policy Solution,machines given to farmers,Hierarchist,Concentrating Costs and Diffusing Benefits
"Bhopal coughs the morning after, AQI shoots to 264",The Times of India (TOI),10/27/2022,BHOPAL,"Bhopal: Air quality across major cities of Madhya Pradesh was not fit to breathe on prolonged exposure due to Diwali fireworks. The air quality was not only poor, but was actually worse than the previous year, pointing out that people burst more fireworks this year as if to make up for the past two pandemic years. 
Due to bursting of crackers till late in the night, pollution levels go up the next morning after Diwali. On Tuesday, the air quality index in major MP cities including Bhopal, Indore, Gwalior and Jabalpur was rated poor by the central pollution control board and there was an increase of close to 20 points in the air quality index when compared to last year's morning after the Diwali night. 
Among the main cities, air quality of Gwalior was the worst followed by Bhopal, Jabalpur and Indore. The difference in the air quality index of the four cities was not huge, but the air quality index of all four cities ranged between 200 and 300, which is poor and may lead to breathing discomfort to most people on prolonged exposure.
The air quality index of Gwalior was 274, Bhopal 264, Jabalpur 223 and Indore was 209. It means the air pollution levels were lowest in Indore.
But when compared to last year, Jabalpur was the only city where pollution levels marginally went down this Diwali. The air quality index last year after the Diwali night was 260 in Gwalior, 244 of Bhopal, 197 of Indore and 244 of Jabalpur. It means pollution levels marginally went down in Jabalpur this year, though it continues to remain in the poor category.
There was no real attempt to enforce the cracker bursting schedule or to promote sale of green crackers.
Air quality is measured taking into account the levels of sulphur dioxide (SO2), nitrogen oxide (Nox), RSPM10 and fine particulate matter (PM2.5) in the air. Of the four, officials said, PM2.5 is the most harmful to health since it causes severe lung diseases. AQI above 200 leads to breathing discomfort on prolonged exposure.
For Reprint Rights: timescontent.com

Load-Date: October 26, 2022",1,Document,central pollution control board,"Diwali fireworks, people",people,0,0,0,0,Madhya Pradesh,Stymied Progress,Implicit Policy Reference,firecrackers causing pollution,Hierarchist,Devil Shift
"'Netas must go around coal-hit villages, see damage for themselves'",The Times of India (TOI),10/24/2022,NAGPUR,"Leena Buddhe, who runs the Centre for Sustainable Development, has been taking up many issues related to farmers' sufferings due to coal pollution. Thanks to her, problems being faced by villages when it comes to pollution from coal-fired power plants and a coal washery in Nagpur district, has got state attention. Earlier this year, she brought in the then environment minister Aditya Thackeray to understand the problems of the villagers.TOI speaks to Buddhe on her findings, the rising catastrophes due to coal and the neglectful attitude of government agencies.Excerpts from an interview...Q. You have been working since a long time in the social sector. When did coal pollution catch your eye?
A. This was actually during the Covid pandemic when I was attending an online workshop organized by Pune-based research centre Manthan Adhyayan Kendra. Its founder Shripad Dharmadikari was giving a presentation on the severe pollution happening in our region due to coal-fired power plants. It then hit me that when experts from other cities are talking about it, we being a local organization should pay serious heed to it. Our fight against coal pollution started with curiosity but after six months of deep research and on-ground survey, we realized how grave the problem is.Q. What were your initial findings?A. We started by visiting villages that were impacted and building a rapport with the sarpanchs and locals. The first village we visited was Chakki Khapa which was almost 9 km from Koradi Thermal Power Plant. We were completely taken aback when we saw that the crops were all covered in coal dust. The farmers have been losing 30-40% of their agricultural yield because of this; health impacts aside. The fact that these plants are in existence for 2-3 decades and still nobody was raising their voice against pollution was quite surprising.Q. Why were the locals tight-lipped about it?A. The reason why these issues were not being highlighted was that there was no collective voice coming out from the villages. The power plant authorities would manipulate the villagers by telling them how they have given the latter jobs and electricity. What the locals didn't realize was that it was coming at the cost of their lives. When we interacted with the women self-help groups, we could sense that they are aware of all the impacts of pollution but don't complain as they fear that men would lose their jobs. Farmers would get job at the power plants in exchange of their agricultural fields.Q. How bad is the situation on ground? In what ways is pollution from power plants affecting public health and environment?A. It is much worse than we think it is. Do you know why one of the most impacted Khasala village is called New Khasala? Because the entire village was shifted from its original location to where it is now so that the power plant could discharge toxic fly-ash. Most of the villagers got a job at the plant and, today, there are hardly any farmers left. Not only has this taken them away from their roots but also exposed them to major public health threat. Even though the plant officials claim that the discharge is reused, majority of it finds its way to agricultural fields, nullahs and rivers which are major drinking water sources. And the massive air pollution that they are exposed too is another problem altogether.Q. The Khasala ash bund recently saw a major breach which submerged nearby villages and led to enormous losses. Do you think the catastrophes arising from coal plants have now increased?A. The reason why such mishaps are increasing is because the ash bunds of Koradi and Khaparkheda power plants are full to its brim as they have failed miserably in ensuring the mandatory utilization of fly-ash. Instead of clearing up their old bunds, they keep on acquiring agricultural lands and building new ones. And the worst part is that the regulatory bodies are not bothered. When a power plant writes on paper that they have used certain amount of fly-ash, what mechanism does the Maharashtra Pollution Control Board (MPCB) has to verify it? In our surveillance meetings, Mahagenco claims that they submit all pollution data to MPCB. My question is that why is this data not made public? Doesn't a sarpanch of a village has the right to know what kind of air they are breathing?Q. Do you feel that the regulatory bodies and the power generation company are hand-in-glove?A. From our interactions, one thing that is certainly clear is that the major problem is both being government bodies. When the Khasala ash bund breach happened, our question to MPCB was that whether they would have been this lenient had it been a private power plant. Just because these plants are state-owned, it doesn't give them the right to pollute. MPCB can prosecute the officials, file criminal complaints but it's not using its power for reasons best known to them. Are they hand-in-glove then? May be.Q. What role do politicians play in such a crisis?A. Politicians can play a major role. The whole situation depends on the sensitivity and understanding of the person in power. And we have seen some wonderful examples. Like when former state environment minister Aaditya Thackeray stopped discharge of fly-ash in Nandgaon. He could gauge and understand the damage it was doing. Politicians should go around villages, interact with the locals. They need to decide why they have come to power, for people or the coal industry?Q. It is absolutely impossible that Mahagenco is unaware of the damage it is doing. Still, it seems to be always on denial.A. Of course, the company is aware. Its website states that Mahagenco's vision is to take care of project-impacted people. But, in reality, it lacks sensitivity towards the locals. And when the power units buy them with jobs, people are scared to raise their voices. Villagers are not aware of their rights; their right to breathe clean air, drink clean water. And in many cases, people are scared to oppose such a powerful agency. This is why we have been focusing on mobilising and empowering locals. In one of our committee meetings, a sarpanch told Mahagenco officials, ""aapne humare ghar ke saamne 314 acre mein raakh rakhi hai. Mai aapke ghar ke saamne do trucks bhar ke raakh rakh deta hun. Aap fir mujhe batana kaisa lagta hai"". For Reprint Rights: timescontent.com

Load-Date: October 23, 2022",1,Document,"research centre Manthan Adhyayan Kendra founder Shripad Dharmadikari, Leena Buddhe who runs the Centre for Sustainable Development, former state environment minister Aaditya Thackeray","coal-fired power plants, coal washery, Mahagenco","farmers, villagers",Villagers,0,"Coal Industry, Maharashtra Pollution Control Board",0,Maharashtra,Hero's Journey,Implicit Policy Reference,coal industry causing air pollution,Egalitarian,Mechanical
